,project_link,title,description,card_category,amt_raised,days_left
31,https://www.indiegogo.com/projects/female/pica,Female,Transgender women through the lens of a documentary photographer with a human rights perspective.,Photography,$308 USD raised 1%,Ended
32,https://www.indiegogo.com/projects/make-magic-happen-photos-of-a-dream/pica,Make Magic Happen - Photos of a Dream!,First photography project - A printed collection of Photos From a Dream.,Photography,$300 USD raised 30%,Ended
33,https://www.indiegogo.com/projects/elephant-book-project/pica,Elephant book project,Conservation snapshots in the intuitive footsteps of gentle African giants,Photography,"$1,436 USD raised 57%",Ended
34,https://www.indiegogo.com/projects/get-lifted-poetic-portraits-in-the-mile-high-city/pica,Get Lifted: Poetic Portraits in the Mile High City,Author Khalisa Rae travels from NC to CO capturing poetic portraits of African American writers.,Photography,$543 USD raised 54%,Ended
35,https://www.indiegogo.com/projects/humans-of-long-beach--3/pica,Humans Of Long Beach,"A photographic tribute to the inhabitants of one of America's most diverse cities, Long Beach, Ca.",Photography,"$3,045 USD raised 51%",Ended
36,https://www.indiegogo.com/projects/burners-portrait-book/pica,Burners Portrait Book,"""Burners.""  A book of portraits made over an eight year span at Center Camp to support the Temple.",Photography,"$14,531 USD raised 73%",Ended
37,https://www.indiegogo.com/projects/the-rolling-stones-by-hanekroot-photobook/pica,The Rolling Stones by Hanekroot - Photobook,Unique photobook of The Rolling Stones in 1970s by award winning photographer Gijsbert Hanekroot.,Photography,"€1,577 EUR raised 16%",Ended
38,https://www.indiegogo.com/projects/point-lobos-dreaming-ltd-edition-handmade-book/pica,Point Lobos Dreaming - Ltd Edition Handmade Book,Bookbinding workshop and handmade & hand bound book about the importance of open spaces & water,Photography,$466 USD raised 16%,Ended
39,https://www.indiegogo.com/projects/framed-future/pica,Framed Future,"Photography
Future
Change
College
Career
Photographer
Donate
Good
Dream
Blessed
Determined
Educated",Photography,$614 USD raised 20%,Ended
40,https://www.indiegogo.com/projects/diffelarities/pica,DIFFELARITIES,An Immigrant. A Camera. A Bike. A Journey Around The USA.,Photography,$259 USD raised 4%,Ended
