,project_link,title,description,card_category,amt_raised,days_left
25,https://www.indiegogo.com/projects/singmic-the-1-mic-for-singing-and-podcasting/pica,SingMic: The #1 Mic for Singing and Podcasting,World's first handheld Bluetooth microphone that will elevate all your digital contents.,Audio,"$754,906 HKD raised 3,775%",Ended
26,https://www.indiegogo.com/projects/4d-sound-decibell-kinetic-vibration-earphone/pica,4D Sound: Decibell Kinetic Vibration Earphone,"A haptic, immersive and 4D sound experience for more realistic music, gaming and movie experience",Audio,"$52,587 HKD raised 251%",
27,https://www.indiegogo.com/projects/pl8ty-radical-portable-bluetooth-speaker/pica,"Pl8ty - Radical, Portable Bluetooth Speaker",A portable Bluetooth speaker inspired by the 80s- a tubular design combined with a modern-day twist.,Audio,"Fr 77,669 CHF raised 247%",
28,https://www.indiegogo.com/projects/the-enigma-handcrafted-bluetooth-speaker/pica,The Enigma: Handcrafted Bluetooth Speaker,Redefining a Hifi Audio experience that marries artisan craftmanship with the best in technology,Audio,"$11,100 SGD raised 826%",
29,https://www.indiegogo.com/projects/freedrum-2-our-next-virtual-drum-kit--2/pica,Freedrum 2: Our next Virtual Drum Kit,An instrument and app that will teach you to drum along to your favourite music,Audio,"$336,650 USD raised 530%",
30,https://www.indiegogo.com/projects/swipe-slide-hold-sound-control-at-fingertips/pica,Swipe. Slide. Hold. Sound control at fingertips.,"Hassle free, safe and easy sound control by Tangible Touch Technology. Music remote works in pocket.",Audio,"¥587,229 JPY raised 115%",
31,https://www.indiegogo.com/projects/pearl-ai-powered-earbuds-with-solar-charging/pica,Pearl: AI-Powered Earbuds with Solar Charging,Active Noise Cancellation | Solar Charging | Premium Sound | Water Resistant | Touch Control,Audio,"$402,236 USD raised 2,109%",Ended
32,https://www.indiegogo.com/projects/reaxt-quality-speaker-affordable-price-tag/pica,REAXT - Quality Speaker. Affordable Price Tag.,REAXT - Quality Speaker. Affordable Price Tag.,Audio,"$83,121 USD raised 398%",
33,https://www.indiegogo.com/projects/blade-super-portable-speaker-with-bone-conduction/pica,BLADE丨Super Portable Speaker with Bone Conduction,It turns anything into a speaker!,Audio,"$136,677 HKD raised 282%",
34,https://www.indiegogo.com/projects/the-first-wireless-connected-scalable-drumkit/pica,"The first wireless, connected & scalable drumkit !","More than a drumpad, this is the future of drums.
No constraint, be free.",Audio,"€60,567 EUR raised 215%",
35,https://www.indiegogo.com/projects/offgrid-make-music-your-way-anytime-anywhere/pica,"offGrid - Make Music Your Way. Anytime, Anywhere.","offGrid is a palm-sized MIDI controller that lets you make music with motion, gesture & touch.",Audio,"€142,768 EUR raised 1,833%",
36,https://www.indiegogo.com/projects/livingroom-upright-virtual-vintage-piano-clone/pica,LivingRoom Upright: Virtual Vintage Piano Clone,Turning a vintage character upright piano into a virtual piano instrument for Mac & PC.,Audio,€900 EUR raised 39%,Ended
37,https://www.indiegogo.com/projects/accento-music-software/pica,Accento Music Software,Music software for much more efficient and faster learning success.,Audio,"€2,270 EUR raised 5%",Ended
38,https://www.indiegogo.com/projects/jamstack-2-play-guitar-anywhere-with-any-sound/pica,Jamstack 2 -Play Guitar Anywhere with Any Sound,"The World’s Only Attachable, Smart Guitar Amp Just Got Better.",Audio,"$293,411 CAD raised 1,413%",
39,https://www.indiegogo.com/projects/x-pick-no-magic-just-science--3/pica,X-PICK No Magic Just Science,"The Only MultiEffects Pick for Guitar & Bass (Neodymium N52) - Delay, Violin, Slide, Octaver & More!",Audio,"€5,986 EUR raised 144%",
40,https://www.indiegogo.com/projects/folktek-alter-guitar-pedals-desktop-effects-xy/pica,Folktek Alter Guitar pedals & desktop effects XY,"Two guitar multi effects pedals & desktop processors, each with 7 uniquely designed effects.",Audio,"$118,224 USD raised 2,173%",
