,project_link,title,description,card_category,amt_raised,days_left
30,https://www.indiegogo.com/projects/campaign-to-support-lifeless-a-short-horror-film/pica,Campaign to support LIFELESS - a short horror film,"Written in the midst of the global pandemic, LIFELESS tells the tale of our collective loss.",Film,"$3,080 USD raised 103%",5 days left
31,https://www.indiegogo.com/projects/paul-delvaux-a-short-film/pica,"'Paul Delvaux', A Short Film",A troubled foster kid poses as the missing child of a prospective family to get adopted.,Film,"$2,200 USD raised 88%",11 days left
32,https://www.indiegogo.com/projects/help-egan-get-limited-edition-dune-companion-book/pica,Help Egan get limited edition Dune Companion Book,Help a die hard Dune fan get the Limited Edition of the Art and Soul of Dune book!!!,Film,$260 CAD raised 43%,30 hours left
33,https://www.indiegogo.com/projects/is-this-the-right-choice/pica,Is This The Right Choice?,Fundraising for senior thesis,Film,$640 USD raised 4%,59 days left
34,https://www.indiegogo.com/projects/we-are-pretty-loud/pica,We Are Pretty Loud,A documentary film about an all-girl Romani rap band singing for women's rights.,Film,"$3,162 USD raised 63%",12 days left
35,https://www.indiegogo.com/projects/spider-man-lotus/pica,Spider-Man: Lotus,"Non-profit. A psychological study of Peter Parker, as he's confronted by the guilt of his past...",Film,"$78,514 USD raised 129%",
36,https://www.indiegogo.com/projects/love-song-the-band-the-ministry-the-movement/pica,"Love Song- The Band, The Ministry, The Movement",Help us complete the feature length documentary film on the iconic band Love Song.,Film,"$3,425 USD raised 3%",51 days left
37,https://www.indiegogo.com/projects/hello-in-here/pica,Hello In Here,Please help me to get my indie film off the ground!,Film,"$3,650 USD raised 37%",38 days left
38,https://www.indiegogo.com/projects/inside-ida-documentary-film/pica,Inside Ida - Documentary Film,The storm that rocked New York,Film,"$1,350 USD raised 7%",53 days left
39,https://www.indiegogo.com/projects/the-last-baron-feature-documentary/pica,The Last Baron: Feature Documentary,"A 90-minute film about Burger Baron, Canada's rogue fast-food chain with mysterious origins",Film,"$14,634 CAD raised 20%",5 days left
40,https://www.indiegogo.com/projects/cibil-short-film/pica,CIBIL - Short Film,An investigative journalist visits a disgraced celebrity psychic harboring a dark secret.,Film,"$2,520 USD raised 17%",29 days left
41,https://www.indiegogo.com/projects/breakin-barriers-the-documentary-extended/pica,Breakin Barriers The Documentary EXTENDED,A journey from the streets of The Bronx to the international stage of The Olympics,Film,"$4,420 USD raised 25%",8 days left
42,https://www.indiegogo.com/projects/the-house-that-zombies-built-indemand-funding/pica,THE HOUSE THAT ZOMBIES BUILT - InDemand Funding,"In a world ruled by zombies, it's the living you should fear more than the (un)dead!!!",Film,"£12,345 GBP raised 219%",
43,https://www.indiegogo.com/projects/moon-a-short-film/pica,"Moon, A Short Film",What would you do if your brother's death was your fault?,Film,"$2,039 USD raised 14%",29 days left
44,https://www.indiegogo.com/projects/bridge-of-the-doomed-zombie-creature-film/pica,Bridge of the Doomed Zombie Creature Film,The campaign is still live and you can continue to claim perks below!,Film,"$211,230 USD raised 251%",
45,https://www.indiegogo.com/projects/invisible-flags-a-film-by-meitar-paz/pica,Invisible Flags- A Film by Meitar Paz,Love shouldn't hurt.,Film,"$5,250 USD raised 18%",14 days left
46,https://www.indiegogo.com/projects/the-women-by-the-lake/pica,The Women By The Lake,A film by Tom Shkolnik,Film,"£8,934 GBP raised 128%",23 days left
47,https://www.indiegogo.com/projects/the-mirror-of-amun-ra/pica,THE MIRROR OF AMUN-RA,The action-packed tale of treasure hunter Cleopatra Pryce & her battle for a cursed Egyptian relic!,Film,"$1,060 USD raised 20%",10 days left
48,https://www.indiegogo.com/projects/thisability-documentary/pica,THISAbility Documentary,A documentary about people living with disabilities in Nigeria.,Film,"$2,855 USD raised 20%",2 days left
49,https://www.indiegogo.com/projects/fp3-escape-from-bako-home-video-pre-order/pica,FP3: ESCAPE FROM BAKO - HOME VIDEO - PRE ORDER,FP3: ESCAPE FROM BAKO is coming to Home Video!,Film,"$12,366 USD raised 495%",15 days left
50,https://www.indiegogo.com/projects/creeps-at-the-gym-the-movie/pica,Creeps At The Gym - The Movie,A B-Movie under foreboding neon lights will give you the creeps.,Film,£868 GBP raised 12%,14 days left
51,https://www.indiegogo.com/projects/when-you-re-gone-short-film/pica,When You're Gone - Short Film,A creature feature with one badass protaganista.,Film,"$13,545 USD raised 54%",3 days left
52,https://www.indiegogo.com/projects/no-escape/pica,No Escape,"Lose and die, or win and get the girl.",Film,$125 CAD raised 23%,14 days left
53,https://www.indiegogo.com/projects/after-the-finish-line/pica,After The Finish Line,"A look at the athletes in the underfunded and underrepresented world of Women’s NCAA D1 sports,",Film,$845 USD raised 24%,27 days left
54,https://www.indiegogo.com/projects/behind-glass-short-film/pica,Behind Glass - Short Film,"""Behind Glass"" is an exploration of trauma masked as a science fiction thriller.",Film,"$6,965 USD raised 46%",Ended
55,https://www.indiegogo.com/projects/protege-moi-horror-adventure-feature/pica,PROTEGE MOI-HORROR ADVENTURE FEATURE,STEAMPUNK VAMPIRE HORROR FEATURE -VAMPIRE STARWARS WITH BLOOD AND BOOBS!,Film,"$3,393 USD raised 31%",21 days left
56,https://www.indiegogo.com/projects/demure-a-short-film/pica,DEMURE- a short film,"A dark-comedy on a head shop worker who almost takes her life, to taking matters into her own hands.",Film,$455 USD raised 7%,12 days left
57,https://www.indiegogo.com/projects/recording-short-film--2/pica,Recording Short Film,All it takes is a rewind,Film,$380 CAD raised 6%,19 days left
58,https://www.indiegogo.com/projects/raspberry-jam-short-film/pica,Raspberry Jam Short Film,Fundraiser for Sepideh Khosrowjah's short film: A Persian tale of female solidarity,Film,"$5,355 USD raised 27%",46 days left
59,https://www.indiegogo.com/projects/glide-for-pride-lgbtqia-adventure-documentary/pica,Glide for Pride - LGBTQIA Adventure Documentary,Frit’s 1000 mile journey by rollerblades and bicycle showcasing LGBTQIA+ stories across England,Film,"£9,628 GBP raised 55%",6 days left
60,https://www.indiegogo.com/projects/music-store-hero/pica,Music Store Hero,Comedic series about a naïve music store employee who thinks he's destined for rock fame.,Film,"$1,200 USD raised 12%",43 days left
61,https://www.indiegogo.com/projects/fine-dining-a-comedy-short-film/pica,FINE DINING : a comedy short film,"Arrogant superstar chef Alex Fine has it all, except his one true desire... a FOURTH Michelin Star.",Film,"$12,488 USD raised 83%",23 days left
62,https://www.indiegogo.com/projects/we-want-faces-so-bad/pica,We Want Faces So Bad,Help us finish our spooky short!,Film,"$5,100 USD raised 113%",15 days left
63,https://www.indiegogo.com/projects/zaller/pica,Zaller,A documentary about a blind boy and his journey to stardom.,Film,$101 USD raised 1%,50 days left
64,https://www.indiegogo.com/projects/the-cell-bfa-short-film--2/pica,The Cell - BFA Short Film,"An allegorical, BFA short film in which a young woman must escape from her voyeuristic prison.",Film,"$1,200 USD raised 34%",50 days left
65,https://www.indiegogo.com/projects/paradise-a-town-of-sinners-saints--2/pica,"Paradise, a Town of Sinners & Saints",A sinfully funny bluegrass musical where good and evil fight over a washed up coal mining town.,Film,"$10,644 USD raised 27%",8 days left
66,https://www.indiegogo.com/projects/nobody-s-listening-a-masters-short-film/pica,Nobody's Listening - a Masters Short Film,"Raped by his roommate, Avinash struggles to confront this traumatic experience.",Film,£10 GBP raised 0%,30 days left
67,https://www.indiegogo.com/projects/honeybee-film/pica,Honeybee Film,"Raising funds for our indie feature film, ""Honeybee""",Film,$770 USD raised 6%,58 days left
68,https://www.indiegogo.com/projects/we-stl-strong-but-the-trauma-is-real-yo/pica,"We STL Strong: But the Trauma is Real, Yo.",A social statement doc focusing on the history of activist pushes for racial justice in St. Louis.,Film,"$8,455 USD raised 38%",2 days left
69,https://www.indiegogo.com/projects/help-fund-the-web-series-park-guard/pica,Help Fund the Web Series Park Guard!,"""Park Guard"" is a short comedy web series that follows the employees at a local park,",Film,$410 USD raised 75%,32 days left
70,https://www.indiegogo.com/projects/3-youtube-horror-comedy-films/pica,3 YouTube Horror Comedy Films!,"Join us as we create 3 awesome short films, Slaughter S'mores, Killer Poop and Shave.",Film,$310 USD raised 62%,16 days left
71,https://www.indiegogo.com/projects/he-never-left-a-halloween-slasher-film/pica,He Never Left: A Halloween Slasher Film,A Halloween-themed slasher film that blends visceral realism with heavy atmosphere and nostalgia.,Film,"$4,218 USD raised 28%",25 days left
72,https://www.indiegogo.com/projects/the-harpswell-incident/pica,The Harpswell Incident,A detective serving in a dystopian America investigates strange sightings in a quiet mountain town.,Film,$655 USD raised 11%,18 days left
73,https://www.indiegogo.com/projects/video-shop-tales-of-terror/pica,Video Shop Tales of Terror,Retro Horror film set inside a video rental store,Film,"£4,259 GBP raised 142%",27 days left
74,https://www.indiegogo.com/projects/tight-five/pica,Tight Five,“Tight Five” is an LGBTQ+ comedic short film.,Film,$160 USD raised 7%,43 days left
75,https://www.indiegogo.com/projects/somewhere-past-waco/pica,Somewhere Past Waco,A dying woman lingers in the awareness that she is running out of time to find her estranged sister.,Film,"$1,760 USD raised 35%",4 days left
76,https://www.indiegogo.com/projects/the-lonely-spirits-variety-hour-feature-film/pica,The Lonely Spirits Variety Hour - Feature Film,An existential comedy currently in post-production.,Film,"$3,675 AUD raised 18%",4 days left
77,https://www.indiegogo.com/projects/bosanski-vitez-bosnian-knight/pica,Bosanski Vitez - Bosnian Knight,Epska avantura o potrazi za identitetom - An epic journey about the search for one's true self.,Film,"€1,285 EUR raised 1%",45 days left
78,https://www.indiegogo.com/projects/the-pastor-s-second-wife-his-first-son/pica,THE PASTOR'S SECOND WIFE & HIS FIRST SON.,"When an affair between a stepson, 35, and his stepmother, 32, ended with their baby's birth.",Film,$230 USD raised 46%,54 days left
79,https://www.indiegogo.com/projects/help-us-fund-yogurhetti-short-film/pica,Help us fund Yogurhetti Short Film!,"When tragedy comes their way, two distant brothers have to learn how to live together again.",Film,$310 CAD raised 18%,13 days left
80,https://www.indiegogo.com/projects/never-hike-alone-the-ghost-cut/pica,Never Hike Alone: The Ghost Cut,Never Hike Alone: The Ghost Cut comes to home video on Blu-ray and VHS.,Film,"$17,510 USD raised 135%",12 days left
81,https://www.indiegogo.com/projects/traces-a-short-film--2/pica,TRACES - a short film,"A woman receives an unexpected phone call, and embarks on a volatile journey with the man she loves.",Film,£515 GBP raised 5%,30 days left
82,https://www.indiegogo.com/projects/the-rush-call/pica,The Rush Call,Everyone has a role to play. What will your part be?,Film,"$4,020 USD raised 9%",31 days left
83,https://www.indiegogo.com/projects/dimbola-drama-documentary/pica,Dimbola Drama Documentary,We want to make a Drama Documentary about Victorian Photographer Julia Margaret Cameron,Film,£992 GBP raised 1%,47 days left
84,https://www.indiegogo.com/projects/hell-hath-no-fury-a-dark-comedy-feature-film/pica,Hell Hath No Fury - A dark comedy feature film,A husband and wife separately and unknowingly plan to murder each other on the same night.,Film,"$7,932 USD raised 159%",11 days left
85,https://www.indiegogo.com/projects/the-hour/pica,The Hour,The Hour is a student thesis film that follows a girl and her issues with her over bearing family.,Film,"$1,100 USD raised 22%",6 days left
86,https://www.indiegogo.com/projects/zombinatrix-she-s-into-whips-brains/pica,ZOMBINATRIX- She's into whips & BRAINS!,"The highly anticipated, brand SPANKING new feature-length, heavy metal, BDSM zombie horror movie!",Film,"$30,620 USD raised 202%",
87,https://www.indiegogo.com/projects/brunch/pica,Brunch,"A rom-com about finding love in a hopeless place—Los Angeles, California.",Film,"$1,901 USD raised 38%",4 days left
88,https://www.indiegogo.com/projects/twentysomethings/pica,TwentySomethings,"When you're too old to party with college kids,but you're not yet thirty you're just twentysomething",Film,$50 USD raised 0%,58 days left
89,https://www.indiegogo.com/projects/affirmations-vol-2-short-comedy-film/pica,Affirmations Vol. 2- Short Comedy Film,A depressed pessimist must practice what he preaches to find his own path to enlightenment,Film,£95 GBP raised 3%,27 days left
