,project_link,title,description,card_category,amt_raised,days_left
29,https://www.indiegogo.com/projects/the-holy-ghost-people-workshop/pica,The Holy Ghost People Workshop,Give unto the Holy Ghost People,Dance & Theater,$705 USD raised 28%,Ended
30,https://www.indiegogo.com/projects/the-magical-journey-of-arlekina/pica,The Magical Journey Of Arlekina,Arlekina was written for all the “weirdos” wherever they are.,Dance & Theater,$779 USD raised 3%,18 days left
31,https://www.indiegogo.com/projects/flux-vertical-theatre/pica,Flux Vertical Theatre,Help Flux Vertical Theatre Build Our New Home,Dance & Theater,"$28,676 USD raised 57%",Ended
32,https://www.indiegogo.com/projects/dna-by-dennis-kelly--2/pica,DNA by Dennis Kelly,Help us stage our first production!,Dance & Theater,"€1,905 EUR raised 76%",7 days left
33,https://www.indiegogo.com/projects/jesus-hopped-the-a-train-fundraiser/pica,Jesus Hopped The 'A' Train Fundraiser,"House of Actors is proud to present ""Jesus Hopped the 'A' Train"".",Dance & Theater,"$3,000 CAD raised 100%",Ended
34,https://www.indiegogo.com/projects/peabody-returns-to-the-nyc-stage/pica,Peabody Returns to the NYC Stage!,How does a tour guide juggle a Senator's lofty legacy with a litany of sex scandals? Very Carefully.,Dance & Theater,"$2,681 USD raised 30%",10 days left
35,https://www.indiegogo.com/projects/the-queens-of-infinite-space/pica,The Queens of Infinite Space,Another groundbreaking theatrical creation from the company that brought you La La La Strada.,Dance & Theater,"$2,905 USD raised 58%",15 days left
36,https://www.indiegogo.com/projects/encuentro-del-gueto-2021-respirando-los-espacios/pica,Encuentro Del Gueto 2021. Respirando los espacios,"Teatral Encuentro en Cinco Comunidades Obreras de Soyapango, El Salvador",Dance & Theater,$20 USD raised 4%,4 days left
37,https://www.indiegogo.com/projects/tap-dance-rocks-out-to-iconic-music-of-the-beatles/pica,Tap dance rocks out to iconic music of the Beatles,We create one-of-a-kind shows in Metro Detroit. Keep Detroit rocking by sponsoring Beatles On Tap.,Dance & Theater,$765 USD raised 8%,Ended
38,https://www.indiegogo.com/projects/come-back-to-impact/pica,Come Back to IMPACT!,40 Powerful Performances. Adapted for COVID-19. Theatre Is Here.,Dance & Theater,"$4,245 CAD raised 21%",Ended
39,https://www.indiegogo.com/projects/the-tarot-reading-vi/pica,The Tarot Reading VI,"The Tarot Reading, DC's unforgettable interactive variety show, is back! March 25-April 10, 2022",Dance & Theater,"$5,075 USD raised 101%",
40,https://www.indiegogo.com/projects/fragment--3/pica,Fragment,"Raising money to fund a new, devised, body driven performance piece to be shared in NYC FALL 2021",Dance & Theater,"$2,679 USD raised 77%",Ended
41,https://www.indiegogo.com/projects/rocket-the-ultimate-handheld-card-fountain/pica,Rocket - The Ultimate Handheld Card Fountain,"A multi-functional playing card shooter, allows you to shoot card in any situation.",Dance & Theater,"$18,450 HKD raised 167%",
42,https://www.indiegogo.com/projects/give-wings-to-thea-l-anna/pica,Give wings to Thea L'Anna,A playful interactive tale about the myriad of ways we experience grief,Dance & Theater,"$1,516 USD raised 28%",Ended
43,https://www.indiegogo.com/projects/bring-laughter-to-the-world-through-rakugo/pica,Bring Laughter to the World through Rakugo,I would like to bring lights to the world through Rakugo performances.,Dance & Theater,$400 USD raised 8%,6 days left
44,https://www.indiegogo.com/projects/world-premiere-dutch-kings-by-kristen-i-spencer/pica,WORLD PREMIERE: DUTCH KINGS BY KRISTEN I. SPENCER,"Site-specific on RICHARDS Street Between Visitation Place and Pioneer Street in RED HOOK, Brooklyn",Dance & Theater,"$3,745 USD raised 37%",Ended
45,https://www.indiegogo.com/projects/majestic-rep-premieres-the-sandman/pica,Majestic Rep Premieres THE SANDMAN,Majestic Repertory Theatre returns after an eighteen-month closure with a brand new musical!,Dance & Theater,"$3,850 USD raised 39%",Ended
46,https://www.indiegogo.com/projects/midsummer-mayhem-shakespeare-back-in-winnemac/pica,Midsummer Mayhem: Shakespeare Back in Winnemac,"SMC returns to Chicago Parks for Year 8 (9?):
Sins of the Father",Dance & Theater,"$3,415 USD raised 131%",
47,https://www.indiegogo.com/projects/support-our-staged-reading-of-nickel-dimed/pica,Support Our Staged Reading of Nickel & Dimed,Help us bring the play Nickel and Dimed to the virtual stage. It will support raising hourly wages.,Dance & Theater,$210 USD raised 7%,Ended
48,https://www.indiegogo.com/projects/the-enchanted-bookshop-in-virtual-reality/pica,The Enchanted Bookshop in Virtual Reality,Help us film The Enchanted bookshop in VR (Virtual Reality),Dance & Theater,$425 USD raised 4%,Ended
49,https://www.indiegogo.com/projects/the-great-hunger/pica,The Great Hunger,Support the world premiere of THE GREAT HUNGER - a new play by Kallan Dana.,Dance & Theater,"$5,850 USD raised 107%",
50,https://www.indiegogo.com/projects/welcome-home--19/pica,"WELCOME, HOME",An Original One-Act Play written and directed by Parker Forest Olson,Dance & Theater,$244 USD raised 49%,Ended
51,https://www.indiegogo.com/projects/relaunching-the-bridge-house-theatre/pica,Relaunching The Bridge House Theatre!,Help us bring The Bridge House Theatre back to life!,Dance & Theater,"£3,205 GBP raised 64%",Ended
52,https://www.indiegogo.com/projects/arm-of-the-sea-tidewater-center-capital-campaign/pica,Arm-of-the-Sea Tidewater Center Capital Campaign,"Open the wondrous Arm-of-the-Sea Tidewater Center cultural park in Saugerties, NY.",Dance & Theater,"$10,675 USD raised 100%",
53,https://www.indiegogo.com/projects/an-intervention--2/pica,An Intervention,Help us bring Mike Bartlett's two-hander about friendship and foreign policy to the Shea Theater!,Dance & Theater,"$3,600 USD raised 103%",
54,https://www.indiegogo.com/projects/baked-the-musical-in-chicago/pica,Baked! The Musical in Chicago,Help us put on Baked! The Musical for the Chicago Musical Theater Festival in February of 2020.,Dance & Theater,"$7,812 USD raised 78%",Ended
55,https://www.indiegogo.com/projects/the-nest-fitness/pica,The Nest Fitness,"A pole dance, movement and bodyworks studio coming to Brooklyn in Spring 2020.",Dance & Theater,"$17,015 USD raised 68%",Ended
56,https://www.indiegogo.com/projects/inkblot-theater-co-s-macbeth/pica,Inkblot Theater Co's MACBETH,The classically terrifying tale is retold using light and shadow to create an immersive ghost story.,Dance & Theater,"$1,255 USD raised 125%",17 days left
57,https://www.indiegogo.com/projects/unearthly-visitants/pica,UNEARTHLY VISITANTS,A devised play based on ghost stories by EDITH WHARTON directed by KEVIN RAY.,Dance & Theater,"$1,305 USD raised 26%",Ended
